type,id,brand,model,year,tire_type,inner_tube,price_range,width_specified,width_measured,width_specified_unit,weight_specified,weight_measured,tread,casing,perc_tread,rr_medium,rr_high,rr_extra_high,rr_ultra_high,wet_grip_average,wet_grip_center,wet_grip_edge,puncture_score_tread,puncture_score_sidewall,puncture_force_sharp_tread,puncture_force_sharp_sidewall,puncture_force_blunt_tread,puncture_force_blunt_sidewall,tire_thickness_tread,tire_thickness_sidewall,rating,replaced,rr_extra_low,rr_low,knob_height_center,knob_height_edge
road,pirelli-p-zero-race-tlr-sl,Pirelli,P Zero Race TLR SL (TechWall) 28,2024.0,TLR,None,High,28.0,28.9,mm,275.0,288.0,30.0,71.0,42.0,16.2,13.7,12.2,11.3,73.0,74.0,71.0,46.0,25.0,10.6,7.2,9.4,8.6,2.6,1.2,4.3,False,,,,
road,continental-grand-prix-attack-2016,Continental,Grand Prix Attack II 22,2016.0,TT,Butyl,High,22.0,23.9,mm,175.0,182.0,,,,16.8,13.7,12.1,11.4,,,,37.0,10.0,9.0,4.0,,,2.2,0.45,4.0,False,,,,
road,enve-ses-road-tire,Enve,SES Road Tire Tubeless 25,2020.0,TLR,None,High+,25.0,26.7,mm,255.0,243.0,30.0,66.0,45.0,17.2,14.4,12.4,11.4,69.0,68.0,71.0,64.0,16.0,15.6,5.2,14.8,6.6,2.2,0.7,4.0,False,,,,
road,bontrager-r4-320-2016,Bontrager,R4 320 25,2016.0,TT,Butyl,High+,25.0,25.3,mm,230.0,226.0,,,,16.4,13.9,12.2,11.5,,,,44.0,12.0,10.8,4.4,,,2.2,0.8,4.0,False,,,,
road,schwalbe-pro-one-aero-rear,Schwalbe,Pro One Aero TLE (Rear) 28,2023.0,TLR,None,High+,28.0,28.7,mm,270.0,275.0,32.0,70.0,46.0,15.8,13.7,12.4,11.5,69.0,70.0,68.0,44.0,16.0,9.6,5.4,9.2,5.4,2.7,0.9,4.0,False,,,,
road,pirelli-p-zero-race-4s,Pirelli,P Zero Race 4S 26,2022.0,TT,Butyl,High,26.0,26.7,mm,240.0,233.0,29.0,65.0,45.0,16.5,14.0,12.3,11.6,73.0,74.0,71.0,50.0,15.0,11.0,5.8,9.4,5.8,2.9,0.65,5.0,False,,,,
road,specialized-turbo-2br-t2-t5,Specialized,S-Works Turbo 2Bliss Ready T2/T5 28,2023.0,TLR,None,High+,28.0,27.9,mm,280.0,298.0,30.0,69.0,43.0,16.6,14.0,12.5,11.6,71.0,74.0,67.0,66.0,16.0,15.0,6.0,12.0,5.6,2.9,0.8,4.6,False,,,,
road,zipp-tangente-speed-2017,Zipp,Tangente Speed 25,2017.0,TT,Butyl,High,25.0,25.7,mm,0.0,190.0,,,,17.3,14.6,12.5,11.6,,,,30.0,8.0,7.4,3.4,,,2.1,0.45,4.0,False,,,,
road,mavic-yksion-pro-ust-2018,Mavic,Yksion Pro UST Tubeless 25,2018.0,TLR,None,High,25.0,26.7,mm,260.0,256.0,27.0,64.0,42.0,15.4,13.3,12.2,11.7,,,,50.0,21.0,10.8,6.8,,,2.8,1.1,5.0,False,,,,
road,pirelli-p-zero-velo-race-tlr,Pirelli,P Zero Velo Race TLR 26,2020.0,TLR,None,High,26.0,26.0,mm,270.0,267.0,26.0,62.0,42.0,16.9,14.3,12.7,11.7,67.0,63.0,71.0,57.0,25.0,12.2,7.6,10.4,8.4,3.0,1.1,4.5,False,,,,
